/,folder,fish,task,area,swim,pixeldenoise,registration,detrend,localdenoise,demix,voltr,spikes,subvolt,rootDir
114,3282019,Fish2-1,Delayed feedback (before ablation),Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/nrs/ahrens/Takashi/
115,3282019,Fish2-2,Gain adaptation (before ablation),Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/nrs/ahrens/Takashi/
116,3282019,Fish2-3,Gain adaptation (after ablation),Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/nrs/ahrens/Takashi/
117,3282019,Fish2-4,Delayed feedback (after ablation),Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/nrs/ahrens/Takashi/
118,3282019,Fish3-1,Gain adaptation (before ablation),Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/nrs/ahrens/Takashi/
119,3282019,Fish3-2,Gain adaptation (after ablation),Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/nrs/ahrens/Takashi/
120,4032019,Fish1-plane1-before,Gain adaptation (before ablation),Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/nrs/ahrens/Takashi/
121,4032019,Fish1-plane2-before,Gain adaptation (before ablation),Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/nrs/ahrens/Takashi/
122,4032019,Fish1-plane1-after,Gain adaptation (after ablation),Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/nrs/ahrens/Takashi/
123,4032019,Fish1-plane2-after,Gain adaptation (after ablation),Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/nrs/ahrens/Takashi/
124,4042019,Fish1-plane#1-before,Gain adaptation (before ablation),Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/nrs/ahrens/Takashi/
125,4042019,Fish1-plane#2-before,Gain adaptation (before ablation),Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/nrs/ahrens/Takashi/
126,4042019,Fish1-plane#1-after,Gain adaptation (after ablation),Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/nrs/ahrens/Takashi/
127,4042019,Fish1-plane#2-after,Gain adaptation (after ablation),Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/nrs/ahrens/Takashi/
